scope,package,version,license
"backend","@babel/runtime","7.27.6","MIT"
"backend","@emnapi/runtime","1.4.4","MIT"
"backend","@fast-csv/format","4.3.5","MIT"
"backend","@fast-csv/format/node_modules/@types/node","14.18.63","MIT"
"backend","@fast-csv/parse","4.3.6","MIT"
"backend","@fast-csv/parse/node_modules/@types/node","14.18.63","MIT"
"backend","@img/sharp-darwin-arm64","0.34.3","Apache-2.0"
"backend","@img/sharp-darwin-x64","0.34.3","Apache-2.0"
"backend","@img/sharp-libvips-darwin-arm64","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-darwin-x64","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-linux-arm","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-linux-arm64","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-linux-ppc64","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-linux-s390x","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-linux-x64","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-linuxmusl-arm64","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-libvips-linuxmusl-x64","1.2.0","LGPL-3.0-or-later"
"backend","@img/sharp-linux-arm","0.34.3","Apache-2.0"
"backend","@img/sharp-linux-arm64","0.34.3","Apache-2.0"
"backend","@img/sharp-linux-ppc64","0.34.3","Apache-2.0"
"backend","@img/sharp-linux-s390x","0.34.3","Apache-2.0"
"backend","@img/sharp-linux-x64","0.34.3","Apache-2.0"
"backend","@img/sharp-linuxmusl-arm64","0.34.3","Apache-2.0"
"backend","@img/sharp-linuxmusl-x64","0.34.3","Apache-2.0"
"backend","@img/sharp-wasm32","0.34.3","Apache-2.0 AND LGPL-3.0-or-later AND MIT"
"backend","@img/sharp-win32-arm64","0.34.3","Apache-2.0 AND LGPL-3.0-or-later"
"backend","@img/sharp-win32-ia32","0.34.3","Apache-2.0 AND LGPL-3.0-or-later"
"backend","@img/sharp-win32-x64","0.34.3","Apache-2.0 AND LGPL-3.0-or-later"
"backend","@napi-rs/canvas","0.1.80","MIT"
"backend","@napi-rs/canvas-android-arm64","0.1.80","MIT"
"backend","@napi-rs/canvas-darwin-arm64","0.1.80","MIT"
"backend","@napi-rs/canvas-darwin-x64","0.1.80","MIT"
"backend","@napi-rs/canvas-linux-arm-gnueabihf","0.1.80","MIT"
"backend","@napi-rs/canvas-linux-arm64-gnu","0.1.80","MIT"
"backend","@napi-rs/canvas-linux-arm64-musl","0.1.80","MIT"
"backend","@napi-rs/canvas-linux-riscv64-gnu","0.1.80","MIT"
"backend","@napi-rs/canvas-linux-x64-gnu","0.1.80","MIT"
"backend","@napi-rs/canvas-linux-x64-musl","0.1.80","MIT"
"backend","@napi-rs/canvas-win32-x64-msvc","0.1.80","MIT"
"backend","accepts","1.3.8","MIT"
"backend","adler-32","1.3.1","Apache-2.0"
"backend","ansi-regex","5.0.1","MIT"
"backend","ansi-styles","4.3.0","MIT"
"backend","anymatch","3.1.3","ISC"
"backend","append-field","1.0.0","MIT"
"backend","archiver","5.3.2","MIT"
"backend","archiver-utils","2.1.0","MIT"
"backend","archiver/node_modules/readable-stream","3.6.2","MIT"
"backend","array-flatten","1.1.1","MIT"
"backend","async","3.2.6","MIT"
"backend","aws-sdk","1.18.0","UNKNOWN"
"backend","balanced-match","1.0.2","MIT"
"backend","base64-js","1.5.1","MIT"
"backend","bcryptjs","2.4.3","MIT"
"backend","big-integer","1.6.52","Unlicense"
"backend","binary","0.3.0","MIT"
"backend","binary-extensions","2.3.0","MIT"
"backend","bl","4.1.0","MIT"
"backend","bl/node_modules/readable-stream","3.6.2","MIT"
"backend","bluebird","3.4.7","MIT"
"backend","body-parser","1.20.4","MIT"
"backend","body-parser/node_modules/http-errors","2.0.1","MIT"
"backend","body-parser/node_modules/statuses","2.0.2","MIT"
"backend","brace-expansion","1.1.12","MIT"
"backend","braces","3.0.3","MIT"
"backend","buffer","5.7.1","MIT"
"backend","buffer-crc32","0.2.13","MIT"
"backend","buffer-equal-constant-time","1.0.1","BSD-3-Clause"
"backend","buffer-from","1.1.2","MIT"
"backend","buffer-indexof-polyfill","1.0.2","MIT"
"backend","buffers","0.1.1","UNKNOWN"
"backend","busboy","1.6.0","UNKNOWN"
"backend","bytes","3.1.2","MIT"
"backend","call-bind-apply-helpers","1.0.2","MIT"
"backend","call-bound","1.0.4","MIT"
"backend","cfb","1.2.2","Apache-2.0"
"backend","chainsaw","0.1.0","MIT/X11"
"backend","chalk","4.1.2","MIT"
"backend","chalk/node_modules/supports-color","7.2.0","MIT"
"backend","chokidar","3.6.0","MIT"
"backend","cliui","8.0.1","ISC"
"backend","codepage","1.15.0","Apache-2.0"
